rank,state_rank,district,state,state_code,headquarters,population,area_sq_km,density_per_sq_km,population_year,source,source_url
751,13,"Noklak","Nagaland","NL","Noklak",59300,1152,51,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
752,12,"Tengnoupal","Manipur","MN","Tengnoupal",59110,1213,49,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
753,8,"Saiha","Mizoram","MZ","Saiha",56366,1414,40,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
754,3,"Yanam","Puducherry","PY","Yanam",55626,30,1854,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
755,14,"Lower Dibang Valley","Arunachal Pradesh","AR","Roing",53986,3900,14,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
756,3,"Diu","Dadra and Nagar Haveli and Daman and Diu","DD","Diu",52074,39,2058,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
757,14,"Longleng","Nagaland","NL","Longleng",50593,885,89,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
758,9,"Saitual","Mizoram","MZ","Saitual",50575,1757,29,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
759,15,"Tawang","Arunachal Pradesh","AR","Tawang",49950,2085,24,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
760,13,"Pherzawl","Manipur","MN","Pherzawl",47250,2128,21,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
761,14,"Kamjong","Manipur","MN","Kamjong",45616,2338,23,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
762,3,"Drass","Ladakh","LA","Drass",45000,2646,17,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
763,15,"Jiribam","Manipur","MN","Jiribam",43818,182,190,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
764,6,"Mangan","Sikkim","SK","Mangan",43354,4226,10,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
765,15,"Niuland","Nagaland","NL","Niuland",42287,483,87,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
766,10,"Khawzawl","Mizoram","MZ","Khawzawl",41974,1189,35,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
767,4,"Mahé","Puducherry","PY","Mahé",41816,9,4646,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
768,16,"Noney","Manipur","MN","Noney (Longmai)",38533,1076,0,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
769,3,"Nicobar","Andaman and Nicobar Islands","AN","Car Nicobar",36842,1841,20,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
770,16,"Upper Siang","Arunachal Pradesh","AR","Yingkiong",35289,6188,6,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
771,4,"Nubra","Ladakh","LA","Diskit",35000,9500,4,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
772,16,"Shamator","Nagaland","NL","Shamator",34223,469,73,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
773,17,"Siang","Arunachal Pradesh","AR","Boleng",31920,2919,11,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
774,18,"Keyi Panyor","Arunachal Pradesh","AR","Yachuli",30000,0,0,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
775,11,"Hnahthial","Mizoram","MZ","Hnahthial",28468,1030,28,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
776,19,"Lepa Rada","Arunachal Pradesh","AR","Basar",28450,0,0,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
777,5,"Changthang","Ladakh","LA","Nyoma",25000,21000,1,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
778,20,"Lower Siang","Arunachal Pradesh","AR","Likabali",22630,0,0,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
779,21,"Kra Daadi","Arunachal Pradesh","AR","Palin",22290,2202,10,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
780,22,"Kamle","Arunachal Pradesh","AR","Raga",22256,200,111,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
781,23,"Anjaw","Arunachal Pradesh","AR","Hawai",21089,6190,3,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
