rank,state_rank,district,state,state_code,headquarters,population,area_sq_km,density_per_sq_km,population_year,source,source_url
327,18,"Dewas","Madhya Pradesh","MP","Dewas",1563107,7020,223,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
328,65,"Bhadohi","Uttar Pradesh","UP","Gyanpur",1554203,960,1531,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
329,18,"Bharuch","Gujarat","GJ","Bharuch",1550822,6524,238,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
330,19,"Rajgarh","Madhya Pradesh","MP","Rajgarh",1546541,6143,251,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
331,22,"Chittorgarh","Rajasthan","RJ","Chittorgarh",1544392,10856,193,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
332,18,"Kolar","Karnataka","KA","Kolar",1540231,4012,384,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
333,5,"Rajnandgaon","Chhattisgarh","CG","Rajnandgaon",1537520,8062,191,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
334,5,"Nizamabad","Telangana","TG","Nizamabad",1534428,4153,366,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
335,6,"Sangareddy","Telangana","TG","Sangareddy",1527628,4464,347,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
336,1,"Jammu","Jammu and Kashmir","JK","Jammu",1526406,3097,596,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
337,6,"Kamrup","Assam","AS","Amingaon",1517202,3480,436,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
338,4,"Gurugram","Haryana","HR","Gurugram",1514085,1258,1241,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
339,19,"Amreli","Gujarat","GJ","Amreli",1513614,6760,205,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
340,20,"Shajapur","Madhya Pradesh","MP","Shajapur",1512353,6196,244,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
341,1,"Kangra","Himachal Pradesh","HP","Dharamshala",1507223,5739,263,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
342,12,"Bhadrak","Odisha","OD","Bhadrak",1506522,2505,601,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
343,5,"Karnal","Haryana","HR","Karnal",1506323,2471,598,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
344,25,"Dharmapuri","Tamil Nadu","TN","Dharmapuri",1502900,4532,332,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
345,21,"Alipurduar","West Bengal","WB","Alipurduar",1501983,3136,479,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
346,8,"West Singhbhum","Jharkhand","JH","Chaibasa",1501619,7224,209,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
347,7,"South East Delhi","Delhi","DL","Defence Colony",1500636,102,15000,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
348,6,"Raigarh","Chhattisgarh","CG","Raigarh",1493627,7068,211,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
349,9,"Deoghar","Jharkhand","JH","Deoghar",1491879,2479,602,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
350,6,"Sonipat","Haryana","HR","Sonipat",1480080,2260,697,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
351,13,"Bargarh","Odisha","OD","Bargarh",1478833,5837,253,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
352,23,"Karauli","Rajasthan","RJ","Karauli",1458459,5530,264,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
353,21,"Vidisha","Madhya Pradesh","MP","Vidisha",1458212,7362,198,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
354,22,"Ratlam","Madhya Pradesh","MP","Ratlam",1454483,4861,299,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
355,23,"Tikamgarh","Madhya Pradesh","MP","Tikamgarh",1444920,5055,286,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
356,14,"Kendrapara","Odisha","OD","Kendrapara",1439891,2644,545,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
357,66,"Kasganj","Uttar Pradesh","UP","Kasganj",1438156,1955,736,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
358,24,"Tonk","Rajasthan","RJ","Tonk",1421711,7194,198,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
359,25,"Jhalawar","Rajasthan","RJ","Jhalawar",1411327,6219,227,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
360,26,"Tenkasi","Tamil Nadu","TN","Tenkasi",1407627,2916,483,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
361,7,"Khammam","Telangana","TG","Khammam",1401639,4453,321,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
362,19,"Ballari","Karnataka","KA","Ballari",1400970,4252,330,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
363,20,"Koppal","Karnataka","KA","Koppal",1391292,5565,250,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
364,26,"Dungarpur","Rajasthan","RJ","Dungarpur",1388906,3771,368,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
365,9,"Bathinda","Punjab","PB","Bathinda",1388859,3355,414,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
366,20,"Gandhinagar","Gujarat","GJ","Gandhinagar",1387478,2163,660,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
367,24,"Barwani","Madhya Pradesh","MP","Barwani",1385659,5432,256,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
368,21,"Vav-Tharad","Gujarat","GJ","Tharad",1380870,6527,220,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
369,25,"Seoni","Madhya Pradesh","MP","Seoni",1378876,8758,157,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
370,15,"Koraput","Odisha","OD","Koraput",1376934,8807,156,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
371,67,"Auraiya","Uttar Pradesh","UP","Auraiya",1372287,2051,681,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
372,33,"Munger","Bihar","BR","Munger",1359054,1419,958,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
373,21,"Vijayanagara","Karnataka","KA","Hospete",1353628,5644,240,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
374,22,"Uttara Kannada","Karnataka","KA","Karwar",1353299,10291,132,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
375,22,"Patan","Gujarat","GJ","Patan",1342746,5738,234,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
376,27,"Sivaganga","Tamil Nadu","TN","Sivagangai",1341250,4086,324,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
377,26,"Mandsaur","Madhya Pradesh","MP","Mandsaur",1339832,5530,242,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
378,68,"Hapur","Uttar Pradesh","UP","Hapur",1338211,660,2028,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
379,27,"Sawai Madhopur","Rajasthan","RJ","Sawai Madhopur",1338114,4500,257,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
380,28,"Ramanathapuram","Tamil Nadu","TN","Ramanathapuram",1337560,4123,320,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
381,7,"Jind","Haryana","HR","Jind",1332042,2702,493,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
382,27,"Raisen","Madhya Pradesh","MP","Raisen",1331699,8466,157,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
383,23,"Navsari","Gujarat","GJ","Navsari",1330711,2211,602,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
384,7,"Dibrugarh","Assam","AS","Dibrugarh",1327748,3381,393,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
385,10,"Garhwa","Jharkhand","JH","Garhwa",1322387,4064,327,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
386,30,"Gondia","Maharashtra","MH","Gondia",1322331,5431,253,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
387,11,"Dumka","Jharkhand","JH","Dumka",1321096,4404,300,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
388,8,"Mahbubnagar","Telangana","TG","Mahbubnagar",1318110,4037,281,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
389,8,"Tinsukia","Assam","AS","Tinsukia",1316948,3790,347,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
390,12,"Godda","Jharkhand","JH","Godda",1311382,2110,622,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
391,28,"Sehore","Madhya Pradesh","MP","Sehore",1311008,6578,199,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
392,29,"Khandwa","Madhya Pradesh","MP","Khandwa",1309443,7349,178,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
393,7,"Baloda Bazar","Chhattisgarh","CG","Baloda Bazar",1305343,4748,275,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
394,9,"Bhadradri Kothagudem","Telangana","TG","Kothagudem",1304811,8951,143,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
395,11,"Kasaragod","Kerala","KL","Kasaragod",1302600,1989,654,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
396,69,"Bagpat","Uttar Pradesh","UP","Baghpat",1302156,1345,986,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
397,31,"Wardha","Maharashtra","MH","Wardha",1296157,6309,205,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
398,8,"Sirsa","Haryana","HR","Sirsa",1295114,4276,303,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
399,30,"Katni","Madhya Pradesh","MP","Katni",1291684,4947,261,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
400,70,"Shamli","Uttar Pradesh","UP","Shamli",1274815,1063,1200,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
401,16,"Angul","Odisha","OD","Angul",1271703,6232,199,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
402,2,"Srinagar","Jammu and Kashmir","JK","Srinagar",1269751,2228,703,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
403,29,"Tiruvarur","Tamil Nadu","TN","Thiruvarur",1268094,2377,533,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
404,31,"Damoh","Madhya Pradesh","MP","Damoh",1263703,7306,173,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
405,9,"Kamrup Metropolitan","Assam","AS","Guwahati",1260419,627,2010,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
406,23,"Chikkaballapur","Karnataka","KA","Chikkaballapur",1254377,4208,298,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
407,30,"Theni","Tamil Nadu","TN","Theni",1243684,3066,433,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
408,32,"Hoshangabad","Madhya Pradesh","MP","Hoshangabad",1240975,6698,185,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
409,33,"Guna","Madhya Pradesh","MP","Guna",1240938,6485,194,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
410,28,"Baran","Rajasthan","RJ","Baran",1223921,6955,175,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
411,17,"Nabarangpur","Odisha","OD","Nabarangpur",1218762,5294,230,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
412,71,"Lalitpur","Uttar Pradesh","UP","Lalitpur",1218002,5039,242,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
413,24,"Gir Somnath","Gujarat","GJ","Veraval",1217477,3754,324,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
414,10,"Karimganj","Assam","AS","Karimganj",1217002,1809,673,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
415,9,"Yamunanagar","Haryana","HR","Yamunanagar",1214162,1756,687,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
416,31,"Ranipet","Tamil Nadu","TN","Ranipettai",1210277,2234,524,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
417,29,"Dholpur","Rajasthan","RJ","Dholpur",1207293,3084,398,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
418,8,"Korba","Chhattisgarh","CG","Korba",1206563,6615,183,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
419,10,"Panipat","Haryana","HR","Panipat",1202811,1250,949,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
420,32,"Bhandara","Maharashtra","MH","Bhandara",1198810,3890,293,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
421,33,"Washim","Maharashtra","MH","Washim",1196714,5155,244,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
422,12,"Pathanamthitta","Kerala","KL","Pathanamthitta",1195537,2652,453,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
423,18,"Dhenkanal","Odisha","OD","Dhenkanal",1192948,4452,268,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
424,10,"Fazilka","Punjab","PB","Fazilka",1180483,3113,379,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
425,34,"Hingoli","Maharashtra","MH","Hingoli",1178973,4526,244,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
426,34,"Singrauli","Madhya Pradesh","MP","Waidhan",1178132,5672,208,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
427,24,"Udupi","Karnataka","KA","Udupi",1177908,3879,304,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
428,25,"Yadgir","Karnataka","KA","Yadgir",1172985,5225,224,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
429,32,"Kanchipuram","Tamil Nadu","TN","Kanchipuram",1166401,1656,704,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
430,30,"Rajsamand","Rajasthan","RJ","Rajsamand",1158283,3853,302,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
431,11,"Sivasagar","Assam","AS","Sibsagar",1150253,2668,431,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
432,13,"Sahibganj","Jharkhand","JH","Sahebganj",1150038,2063,558,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
433,25,"Markapuram","Andhra Pradesh","AP","Markapuram",1142313,10035,113,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
434,26,"Chikmagalur","Karnataka","KA","Chikmagalur",1137753,7201,158,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
435,11,"Ambala","Haryana","HR","Ambala",1136784,1569,722,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
436,19,"Jagatsinghpur","Odisha","OD","Jagatsinghpur",1136604,1759,681,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
437,22,"Jhargram","West Bengal","WB","Jhargram",1136548,3038,374,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
438,10,"Hanamkonda","Telangana","TG","Hanamkonda",1135707,1304,826,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
439,35,"Sidhi","Madhya Pradesh","MP","Sidhi",1126515,10520,232,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
440,34,"Jehanabad","Bihar","BR","Jehanabad",1124176,1569,1206,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
441,11,"Tarn Taran","Punjab","PB","Tarn Taran Sahib",1120070,2414,464,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
442,72,"Shravasti","Uttar Pradesh","UP","Shravasti",1114615,1948,572,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
443,31,"Bundi","Rajasthan","RJ","Bundi",1113725,5550,193,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
444,33,"Tirupattur","Tamil Nadu","TN","Tirupattur",1111812,1798,618,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
445,13,"Idukki","Kerala","KL","Painavu",1107453,4356,254,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
446,73,"Hamirpur","Uttar Pradesh","UP","Hamirpur",1104021,4325,268,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
447,11,"Suryapet","Telangana","TG","Suryapet",1099560,3374,305,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
448,36,"Narsinghpur","Madhya Pradesh","MP","Narsinghpur",1092141,5133,213,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
449,12,"Jorhat","Assam","AS","Jorhat",1091295,2851,383,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
450,12,"Nuh","Haryana","HR","Nuh",1089406,1765,729,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
451,27,"Bengaluru South","Karnataka","KA","Bengaluru South",1082739,3573,303,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
452,34,"Karur","Tamil Nadu","TN","Karur",1076588,2901,371,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
453,13,"Kaithal","Haryana","HR","Kaithal",1072861,2317,467,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
454,32,"Deeg","Rajasthan","RJ","Deeg",1072755,2169,495,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
455,25,"Chhota Udaipur","Gujarat","GJ","Chhota Udaipur",1071831,3237,331,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
456,35,"Gadchiroli","Maharashtra","MH","Gadchiroli",1071795,14412,74,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
457,3,"Anantnag","Jammu and Kashmir","JK","Anantnag",1070144,2853,375,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
458,28,"Gadaga","Karnataka","KA","Gadag-Betageri",1065235,4651,229,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
459,37,"Shahdol","Madhya Pradesh","MP","Shahdol",1064989,6205,172,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
460,14,"Seraikela-Kharsawan","Jharkhand","JH","Seraikela",1063458,2657,401,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
461,14,"Rohtak","Haryana","HR","Rohtak",1058683,1668,607,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
462,13,"Golaghat","Assam","AS","Golaghat",1058674,3502,302,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
463,1,"Chandigarh","Chandigarh","CH","Chandigarh",1055450,114,9258,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
464,38,"Mandla","Madhya Pradesh","MP","Mandla",1053522,5805,182,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
465,26,"Aravalli","Gujarat","GJ","Modasa",1051746,3217,327,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
466,20,"Sambalpur","Odisha","OD","Sambalpur",1044410,6702,158,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
467,15,"Chatra","Jharkhand","JH","Chatra",1042304,3700,275,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
468,14,"Lakhimpur","Assam","AS","North Lakhimpur",1040644,2277,457,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
469,15,"Palwal","Haryana","HR","Palwal",1040493,1367,761,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
470,33,"Sirohi","Rajasthan","RJ","Sirohi",1037185,5136,202,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
471,9,"Mahasamund","Chhattisgarh","CG","Mahasamund",1032275,4779,216,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
472,16,"Gumla","Jharkhand","JH","Gumla",1025656,5360,191,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
473,39,"Jhabua","Madhya Pradesh","MP","Jhabua",1024091,6782,285,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
474,29,"Chamarajanagar","Karnataka","KA","Chamarajanagar",1020962,5102,200,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
475,12,"Karimnagar","Telangana","TG","Karimnagar",1016063,2379,473,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
476,40,"Panna","Madhya Pradesh","MP","Panna",1016028,7135,142,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
477,4,"Baramulla","Jammu and Kashmir","JK","Baramulla",1015503,3329,305,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
478,15,"Goalpara","Assam","AS","Goalpara",1008959,1824,553,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
479,35,"Lakhisarai","Bihar","BR","Lakhisarai",1000717,1229,815,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
480,2,"Mandi","Himachal Pradesh","HP","Mandi",999518,3950,253,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
481,27,"Mahisagar","Gujarat","GJ","Lunavada",994624,2500,440,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
482,13,"Siddipet","Telangana","TG","Siddipet",993376,3425,279,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
483,12,"Moga","Punjab","PB","Moga",992289,2235,444,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
484,74,"Chitrakoot","Uttar Pradesh","UP","Karwi",990626,3202,315,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
485,30,"Bangalore Rural","Karnataka","KA","Bangalore",987257,2239,441,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
486,13,"Sahibzada Ajit Singh Nagar","Punjab","PB","Sahibzada Ajit Singh Nagar",986147,1188,830,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
487,14,"Jagtial","Telangana","TG","Jagtial",983414,3043,407,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
488,15,"Kamareddy","Telangana","TG","Kamareddy",972625,3651,266,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
489,34,"Balotra","Rajasthan","RJ","Balotra",970760,19000,51,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
490,35,"Khairthal-Tijara","Rajasthan","RJ","Khairthal",966821,2007,482,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
