rank,city,state,population,population_year,source,source_url,scraped_at
99,Udaipur,Rajasthan,451100,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
100,Maheshtala,West Bengal,448317,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
101,Tiruppur,Tamil Nadu,444352,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
102,Davanagere,Karnataka,434971,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
103,Kozhikode,Kerala,431560,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
104,Kurnool,Andhra Pradesh,430214,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
105,Akola,Maharashtra,425817,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
106,Rajpur Sonarpur,West Bengal,424368,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
107,Bokaro,Jharkhand,414820,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
108,Bellary,Karnataka,410445,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
109,Patiala,Punjab,406192,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
110,South Dumdum,West Bengal,403316,2011,Wikipedia (Census of India 2011),https://en.wikipedia.org/wiki/List_of_cities_in_India_by_population,2026-09-22T16:54:17.973Z
